Time (months),Temperature (C),CEX sum of acid variants (%)
0.0,5.0,30.012628736701288
1.0,5.0,30.00190204903228
2.0,5.0,29.963861784243846
3.0,5.0,29.987743271541355
4.0,5.0,30.00227109546709
5.0,5.0,29.944589762942467
0.0,25.0,30.018032153022304
1.0,25.0,29.95487497514519
2.0,25.0,29.96083024641039
3.0,25.0,29.95494365641335
4.0,25.0,29.871528129519167
5.0,25.0,29.85319910589982
0.0,40.0,29.970633343285908
1.0,40.0,29.88158320389697
2.0,40.0,29.670532411939405
3.0,40.0,29.58018178437306
4.0,40.0,29.409436325234985
5.0,40.0,29.28107598209802
